feature_variant,model,split,truth,prediction,n
baseline_safe,multinom,validation,H,H,3192
baseline_safe,multinom,validation,H,D,0
baseline_safe,multinom,validation,H,A,453
baseline_safe,multinom,validation,D,H,1246
baseline_safe,multinom,validation,D,D,0
baseline_safe,multinom,validation,D,A,562
baseline_safe,multinom,validation,A,H,917
baseline_safe,multinom,validation,A,D,0
baseline_safe,multinom,validation,A,A,1245
baseline_safe,multinom,test,H,H,3190
baseline_safe,multinom,test,H,D,0
baseline_safe,multinom,test,H,A,384
baseline_safe,multinom,test,D,H,1235
baseline_safe,multinom,test,D,D,0
baseline_safe,multinom,test,D,A,549
baseline_safe,multinom,test,A,H,870
baseline_safe,multinom,test,A,D,0
baseline_safe,multinom,test,A,A,1334
baseline_safe,glmnet_multinomial_ridge,validation,H,H,3233
baseline_safe,glmnet_multinomial_ridge,validation,H,D,0
baseline_safe,glmnet_multinomial_ridge,validation,H,A,412
baseline_safe,glmnet_multinomial_ridge,validation,D,H,1272
baseline_safe,glmnet_multinomial_ridge,validation,D,D,0
baseline_safe,glmnet_multinomial_ridge,validation,D,A,536
baseline_safe,glmnet_multinomial_ridge,validation,A,H,942
baseline_safe,glmnet_multinomial_ridge,validation,A,D,0
baseline_safe,glmnet_multinomial_ridge,validation,A,A,1220
baseline_safe,glmnet_multinomial_ridge,test,H,H,3210
baseline_safe,glmnet_multinomial_ridge,test,H,D,0
baseline_safe,glmnet_multinomial_ridge,test,H,A,364
baseline_safe,glmnet_multinomial_ridge,test,D,H,1261
baseline_safe,glmnet_multinomial_ridge,test,D,D,0
baseline_safe,glmnet_multinomial_ridge,test,D,A,523
baseline_safe,glmnet_multinomial_ridge,test,A,H,899
baseline_safe,glmnet_multinomial_ridge,test,A,D,0
baseline_safe,glmnet_multinomial_ridge,test,A,A,1305
baseline_safe,lightgbm,validation,H,H,3195
baseline_safe,lightgbm,validation,H,D,1
baseline_safe,lightgbm,validation,H,A,449
baseline_safe,lightgbm,validation,D,H,1227
baseline_safe,lightgbm,validation,D,D,1
baseline_safe,lightgbm,validation,D,A,580
baseline_safe,lightgbm,validation,A,H,887
baseline_safe,lightgbm,validation,A,D,0
baseline_safe,lightgbm,validation,A,A,1275
baseline_safe,lightgbm,test,H,H,3177
baseline_safe,lightgbm,test,H,D,1
baseline_safe,lightgbm,test,H,A,396
baseline_safe,lightgbm,test,D,H,1218
baseline_safe,lightgbm,test,D,D,0
baseline_safe,lightgbm,test,D,A,566
baseline_safe,lightgbm,test,A,H,882
baseline_safe,lightgbm,test,A,D,0
baseline_safe,lightgbm,test,A,A,1322
draw_abs_only,multinom,validation,H,H,3216
draw_abs_only,multinom,validation,H,D,0
draw_abs_only,multinom,validation,H,A,429
draw_abs_only,multinom,validation,D,H,1254
draw_abs_only,multinom,validation,D,D,0
draw_abs_only,multinom,validation,D,A,554
draw_abs_only,multinom,validation,A,H,926
draw_abs_only,multinom,validation,A,D,0
draw_abs_only,multinom,validation,A,A,1236
draw_abs_only,multinom,test,H,H,3202
draw_abs_only,multinom,test,H,D,0
draw_abs_only,multinom,test,H,A,372
draw_abs_only,multinom,test,D,H,1239
draw_abs_only,multinom,test,D,D,0
draw_abs_only,multinom,test,D,A,545
draw_abs_only,multinom,test,A,H,883
draw_abs_only,multinom,test,A,D,0
draw_abs_only,multinom,test,A,A,1321
draw_abs_only,glmnet_multinomial_ridge,validation,H,H,3251
draw_abs_only,glmnet_multinomial_ridge,validation,H,D,0
draw_abs_only,glmnet_multinomial_ridge,validation,H,A,394
draw_abs_only,glmnet_multinomial_ridge,validation,D,H,1285
draw_abs_only,glmnet_multinomial_ridge,validation,D,D,0
draw_abs_only,glmnet_multinomial_ridge,validation,D,A,523
draw_abs_only,glmnet_multinomial_ridge,validation,A,H,964
draw_abs_only,glmnet_multinomial_ridge,validation,A,D,0
draw_abs_only,glmnet_multinomial_ridge,validation,A,A,1198
draw_abs_only,glmnet_multinomial_ridge,test,H,H,3226
draw_abs_only,glmnet_multinomial_ridge,test,H,D,0
draw_abs_only,glmnet_multinomial_ridge,test,H,A,348
draw_abs_only,glmnet_multinomial_ridge,test,D,H,1276
draw_abs_only,glmnet_multinomial_ridge,test,D,D,0
draw_abs_only,glmnet_multinomial_ridge,test,D,A,508
draw_abs_only,glmnet_multinomial_ridge,test,A,H,917
draw_abs_only,glmnet_multinomial_ridge,test,A,D,0
draw_abs_only,glmnet_multinomial_ridge,test,A,A,1287
draw_abs_only,lightgbm,validation,H,H,3188
draw_abs_only,lightgbm,validation,H,D,1
draw_abs_only,lightgbm,validation,H,A,456
draw_abs_only,lightgbm,validation,D,H,1225
draw_abs_only,lightgbm,validation,D,D,2
draw_abs_only,lightgbm,validation,D,A,581
draw_abs_only,lightgbm,validation,A,H,891
draw_abs_only,lightgbm,validation,A,D,0
draw_abs_only,lightgbm,validation,A,A,1271
draw_abs_only,lightgbm,test,H,H,3171
draw_abs_only,lightgbm,test,H,D,0
draw_abs_only,lightgbm,test,H,A,403
draw_abs_only,lightgbm,test,D,H,1220
draw_abs_only,lightgbm,test,D,D,0
draw_abs_only,lightgbm,test,D,A,564
draw_abs_only,lightgbm,test,A,H,881
draw_abs_only,lightgbm,test,A,D,0
draw_abs_only,lightgbm,test,A,A,1323
draw_smooth,multinom,validation,H,H,3211
draw_smooth,multinom,validation,H,D,0
draw_smooth,multinom,validation,H,A,434
draw_smooth,multinom,validation,D,H,1257
draw_smooth,multinom,validation,D,D,0
draw_smooth,multinom,validation,D,A,551
draw_smooth,multinom,validation,A,H,926
draw_smooth,multinom,validation,A,D,1
draw_smooth,multinom,validation,A,A,1235
draw_smooth,multinom,test,H,H,3202
draw_smooth,multinom,test,H,D,0
draw_smooth,multinom,test,H,A,372
draw_smooth,multinom,test,D,H,1239
draw_smooth,multinom,test,D,D,0
draw_smooth,multinom,test,D,A,545
draw_smooth,multinom,test,A,H,886
draw_smooth,multinom,test,A,D,0
draw_smooth,multinom,test,A,A,1318
draw_smooth,glmnet_multinomial_ridge,validation,H,H,3251
draw_smooth,glmnet_multinomial_ridge,validation,H,D,0
draw_smooth,glmnet_multinomial_ridge,validation,H,A,394
draw_smooth,glmnet_multinomial_ridge,validation,D,H,1289
draw_smooth,glmnet_multinomial_ridge,validation,D,D,0
draw_smooth,glmnet_multinomial_ridge,validation,D,A,519
draw_smooth,glmnet_multinomial_ridge,validation,A,H,968
draw_smooth,glmnet_multinomial_ridge,validation,A,D,0
draw_smooth,glmnet_multinomial_ridge,validation,A,A,1194
draw_smooth,glmnet_multinomial_ridge,test,H,H,3231
draw_smooth,glmnet_multinomial_ridge,test,H,D,0
draw_smooth,glmnet_multinomial_ridge,test,H,A,343
draw_smooth,glmnet_multinomial_ridge,test,D,H,1279
draw_smooth,glmnet_multinomial_ridge,test,D,D,0
draw_smooth,glmnet_multinomial_ridge,test,D,A,505
draw_smooth,glmnet_multinomial_ridge,test,A,H,922
draw_smooth,glmnet_multinomial_ridge,test,A,D,0
draw_smooth,glmnet_multinomial_ridge,test,A,A,1282
draw_smooth,lightgbm,validation,H,H,3189
draw_smooth,lightgbm,validation,H,D,0
draw_smooth,lightgbm,validation,H,A,456
draw_smooth,lightgbm,validation,D,H,1225
draw_smooth,lightgbm,validation,D,D,1
draw_smooth,lightgbm,validation,D,A,582
draw_smooth,lightgbm,validation,A,H,890
draw_smooth,lightgbm,validation,A,D,0
draw_smooth,lightgbm,validation,A,A,1272
draw_smooth,lightgbm,test,H,H,3180
draw_smooth,lightgbm,test,H,D,0
draw_smooth,lightgbm,test,H,A,394
draw_smooth,lightgbm,test,D,H,1220
draw_smooth,lightgbm,test,D,D,0
draw_smooth,lightgbm,test,D,A,564
draw_smooth,lightgbm,test,A,H,885
draw_smooth,lightgbm,test,A,D,0
draw_smooth,lightgbm,test,A,A,1319
draw_smooth_neutral,multinom,validation,H,H,3221
draw_smooth_neutral,multinom,validation,H,D,0
draw_smooth_neutral,multinom,validation,H,A,424
draw_smooth_neutral,multinom,validation,D,H,1262
draw_smooth_neutral,multinom,validation,D,D,0
draw_smooth_neutral,multinom,validation,D,A,546
draw_smooth_neutral,multinom,validation,A,H,934
draw_smooth_neutral,multinom,validation,A,D,0
draw_smooth_neutral,multinom,validation,A,A,1228
draw_smooth_neutral,multinom,test,H,H,3208
draw_smooth_neutral,multinom,test,H,D,0
draw_smooth_neutral,multinom,test,H,A,366
draw_smooth_neutral,multinom,test,D,H,1249
draw_smooth_neutral,multinom,test,D,D,0
draw_smooth_neutral,multinom,test,D,A,535
draw_smooth_neutral,multinom,test,A,H,896
draw_smooth_neutral,multinom,test,A,D,0
draw_smooth_neutral,multinom,test,A,A,1308
draw_smooth_neutral,glmnet_multinomial_ridge,validation,H,H,3260
draw_smooth_neutral,glmnet_multinomial_ridge,validation,H,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,validation,H,A,385
draw_smooth_neutral,glmnet_multinomial_ridge,validation,D,H,1295
draw_smooth_neutral,glmnet_multinomial_ridge,validation,D,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,validation,D,A,513
draw_smooth_neutral,glmnet_multinomial_ridge,validation,A,H,975
draw_smooth_neutral,glmnet_multinomial_ridge,validation,A,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,validation,A,A,1187
draw_smooth_neutral,glmnet_multinomial_ridge,test,H,H,3234
draw_smooth_neutral,glmnet_multinomial_ridge,test,H,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,test,H,A,340
draw_smooth_neutral,glmnet_multinomial_ridge,test,D,H,1285
draw_smooth_neutral,glmnet_multinomial_ridge,test,D,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,test,D,A,499
draw_smooth_neutral,glmnet_multinomial_ridge,test,A,H,930
draw_smooth_neutral,glmnet_multinomial_ridge,test,A,D,0
draw_smooth_neutral,glmnet_multinomial_ridge,test,A,A,1274
draw_smooth_neutral,lightgbm,validation,H,H,3180
draw_smooth_neutral,lightgbm,validation,H,D,2
draw_smooth_neutral,lightgbm,validation,H,A,463
draw_smooth_neutral,lightgbm,validation,D,H,1225
draw_smooth_neutral,lightgbm,validation,D,D,2
draw_smooth_neutral,lightgbm,validation,D,A,581
draw_smooth_neutral,lightgbm,validation,A,H,898
draw_smooth_neutral,lightgbm,validation,A,D,0
draw_smooth_neutral,lightgbm,validation,A,A,1264
draw_smooth_neutral,lightgbm,test,H,H,3174
draw_smooth_neutral,lightgbm,test,H,D,0
draw_smooth_neutral,lightgbm,test,H,A,400
draw_smooth_neutral,lightgbm,test,D,H,1221
draw_smooth_neutral,lightgbm,test,D,D,0
draw_smooth_neutral,lightgbm,test,D,A,563
draw_smooth_neutral,lightgbm,test,A,H,887
draw_smooth_neutral,lightgbm,test,A,D,1
draw_smooth_neutral,lightgbm,test,A,A,1316
