dataset,column,n_rows,n_missing,pct_missing
football_data_uk_matches,neutral,177295,177295,100
football_data_uk_matches,away_fouls,177295,80336,45.31
football_data_uk_matches,home_fouls,177295,80336,45.31
football_data_uk_matches,away_shots_on_target,177295,80114,45.19
football_data_uk_matches,home_shots_on_target,177295,80117,45.19
football_data_uk_matches,away_corners,177295,79571,44.88
football_data_uk_matches,home_corners,177295,79571,44.88
football_data_uk_matches,away_shots,177295,79196,44.67
football_data_uk_matches,home_shots,177295,79199,44.67
football_data_uk_matches,away_red_cards,177295,79014,44.57
football_data_uk_matches,away_yellow_cards,177295,79014,44.57
football_data_uk_matches,home_red_cards,177295,79014,44.57
football_data_uk_matches,home_yellow_cards,177295,79015,44.57
football_data_uk_matches,half_time_away_score,177295,20042,11.3
football_data_uk_matches,half_time_home_score,177295,20041,11.3
football_data_uk_matches,half_time_result,177295,20041,11.3
football_data_uk_matches,away_score,177295,0,0
football_data_uk_matches,away_team,177295,0,0
football_data_uk_matches,away_win,177295,0,0
football_data_uk_matches,competition,177295,0,0
football_data_uk_matches,date,177295,0,0
football_data_uk_matches,draw,177295,0,0
football_data_uk_matches,full_time_result,177295,0,0
football_data_uk_matches,goal_difference,177295,0,0
football_data_uk_matches,home_score,177295,0,0
football_data_uk_matches,home_team,177295,0,0
football_data_uk_matches,home_win,177295,0,0
football_data_uk_matches,match_result,177295,0,0
football_data_uk_matches,raw_file,177295,0,0
football_data_uk_matches,result_class,177295,0,0
football_data_uk_matches,season,177295,0,0
football_data_uk_matches,source,177295,0,0
football_data_uk_matches,source_league_code,177295,0,0
football_data_uk_matches,source_match_id,177295,0,0
football_data_uk_matches,source_season_code,177295,0,0
football_data_uk_matches,total_goals,177295,0,0
international_results,away_score,49257,0,0
international_results,away_team,49257,0,0
international_results,away_win,49257,0,0
international_results,city,49257,0,0
international_results,competition,49257,0,0
international_results,country,49257,0,0
international_results,date,49257,0,0
international_results,draw,49257,0,0
international_results,goal_difference,49257,0,0
international_results,home_score,49257,0,0
international_results,home_team,49257,0,0
international_results,home_win,49257,0,0
international_results,match_result,49257,0,0
international_results,neutral,49257,0,0
international_results,raw_file,49257,0,0
international_results,result_class,49257,0,0
international_results,season,49257,0,0
international_results,source,49257,0,0
international_results,source_match_id,49257,0,0
international_results,total_goals,49257,0,0
international_results,tournament,49257,0,0
statsbomb_competitions,match_available_360,80,68,85
statsbomb_competitions,match_updated_360,80,22,27.5
statsbomb_competitions,competition_gender,80,0,0
statsbomb_competitions,competition_id,80,0,0
statsbomb_competitions,competition_international,80,0,0
statsbomb_competitions,competition_name,80,0,0
statsbomb_competitions,competition_youth,80,0,0
statsbomb_competitions,country_name,80,0,0
statsbomb_competitions,match_available,80,0,0
statsbomb_competitions,match_updated,80,0,0
statsbomb_competitions,season_id,80,0,0
statsbomb_competitions,season_name,80,0,0
statsbomb_matches,neutral,3961,3961,100
statsbomb_matches,xy_fidelity_version,3961,243,6.13
statsbomb_matches,shot_fidelity_version,3961,197,4.97
statsbomb_matches,stadium,3961,10,0.25
statsbomb_matches,data_version,3961,2,0.05
statsbomb_matches,away_score,3961,0,0
statsbomb_matches,away_team,3961,0,0
statsbomb_matches,away_win,3961,0,0
statsbomb_matches,competition,3961,0,0
statsbomb_matches,competition_country,3961,0,0
statsbomb_matches,competition_id,3961,0,0
statsbomb_matches,date,3961,0,0
statsbomb_matches,draw,3961,0,0
statsbomb_matches,goal_difference,3961,0,0
statsbomb_matches,home_score,3961,0,0
statsbomb_matches,home_team,3961,0,0
statsbomb_matches,home_win,3961,0,0
statsbomb_matches,match_result,3961,0,0
statsbomb_matches,match_week,3961,0,0
statsbomb_matches,raw_file,3961,0,0
statsbomb_matches,result_class,3961,0,0
statsbomb_matches,season,3961,0,0
statsbomb_matches,season_id,3961,0,0
statsbomb_matches,source,3961,0,0
statsbomb_matches,source_match_id,3961,0,0
statsbomb_matches,total_goals,3961,0,0
